"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
" A S DOS SANTOS MERCEARIA -ME";"COMERCIAL LAPALOMA";"36.955.474/0001-34";"Sociedade Empresária";"01/07/1988";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78680000;"MT";"Cocalinho";"Cocalinho";"AV, HERMANO RIBEIRO DA SILVA S/N";"(66) 3586-1455";"";"";"";"";"13.033393.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
" F. HART & CIA LTDA ME";"RESTAURANTE CHICKENIN";"10.421.815/0001-06";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";85884000;"PR";"Medianeira";"Medianeira";"RUA SERGIPE, 1207";"(45) 3240-1661";"";"fernandoluishart@hotmail.com";"";"www.meurestaurante.com.br";"18.043305.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Alemão,Inglês"")"
" GELSON TALON ALVES RESTAURANTE E CHURRASCARIA";"BELLA CARNE";"08.672.829/0001-42";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";28400000;"RJ";"São Fidélis";"São Fidélis";"AV SETE DE SETEMBRO, 98";"(27) 2758-2664";"";"";"";"";"19.038059.15.0001-3";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";;"(Inglês)"
" KILOCAL BAR E LANCHONETE LTDA-ME";"KILOCAL ";"00.459.268/0001-96";"Sociedade Empresária";"01/02/1995";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";20540003;"RJ";"Rio de Janeiro";"Tijuca";"RUA BARÃO DE MESQUITA, 280 LOJA 285 - D";"(21) 2567-1041";"";"";"";"";"19.036690.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
" M L NERES DOS SANTOS COMERCIO";"LELIS PEIXARIA";"12.113.630/0001-51";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78043370;"MT";"Cuiabá";"Duque de Caxias II";"RUA TEOFILO DE ARRUDA ,75";"(65) 3322-9195";"";"www.lelispeixaria.com.br";"";"";"13.038059.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
" V M DO NASCIMENTO FERNANDES- ME";"CABANAS COUNTRY";"04.852.233/0001-73";"Sociedade Empresária";"03/11/2005";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78415000;"MT";"Nova Marilândia";"Nova Marilândia";"RUA BAHIA  390";"(65) 3352-1224";"";"";"";"";"13.037921.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"07643518000192";"M3C COMÉRCIO DE ALIMENTOS ";"07.643.518/0001-92";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";30310530;"MG";"Belo Horizonte";"Cruzeiro";"RUA FRANCISCO DESLANDES, 10";"(31) 3282-2715";"";"";"";"";"11.043335.15.0001-4";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Inglês)"
"09292470000140";"CLUBE DO MALTE";"09.292.470/0001-40";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";80420190;"PR";"Curitiba";"Centro";"RUA DESEMBARGADOR MOTTA, 2200";"(41) 3014-9313";"";"livia.nonose@hotmail.com";"";"www.clubedomalte.com.br";"18.044274.15.0001-4";"5611-2/02-BAR COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Primário), 5620-1/02-BUFE; SERVIÇOS DE ALIMENTAÇÃO (Secundário)";100;"(""Nenhuma das Opções"")"
"10942038000137";"SABORFAMILIA";"10.942.038/0001-37";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";90035060;"RS";"Porto Alegre";"Independência";"RUA IRMAO JOSE OTÃO 11,A";"(51) 3384-7905";"";"anahi@restaurantesaborfamilia.com.br";"saborfamiliaeventos@hotmail.com";"";"23.041066.15.0001-0";"5611-2/01-ALIMENTAÇÃO COM SERVIÇO COMPLETO; SERVIÇOS DE (Primário)";;"("""")"
"2 A COMERCIO DE PRODUTOS ALIMENTICIOS LTDA";"2 A COMERCIO DE PRODUTOS ALIMENTICIOS";"09.318.145/0001-00";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";36026390;"MG";"Juiz de Fora";"Passos";"RUA DOM VICOSO, 81 ";"(32) 3226-9827";"(35) 3364-1207";"";"";"WWW.SERRAVERDE.COM.BR";"11.038427.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
